building_id,mean_temp,std_temp,pct_above_18,pct_below_15
10000,0.44650283895699977,1.8493456566776005,0.016274275794727133,99.98372572420527
10009,0.28322570107548495,1.4545611877774909,0.006282038395818675,99.99371796160418
10014,0.35663209218053377,1.8869378120954214,0.027483153844587854,99.97251684615541
10019,0.35613828953927223,1.8814919923922513,0.024414807580797754,99.9755851924192
10029,0.3952083253916822,1.6142605787073234,0.015247970113978576,99.98475202988602
10031,0.365391980673482,1.8289402849895664,0.013257519959932828,99.98674248004006
10051,0.8008070736007051,2.748036470066712,0.08814455707360071,99.9118554429264
10053,0.38282902856135403,1.6056804503398998,0.011019040902679831,99.98898095909732
10056,0.8479777225045961,2.8582757147710565,0.09372409069608162,99.90627590930391
10064,0.2749978116885011,1.329729524159653,0.008753245995389956,99.99124675400462
10075,0.3299454553484675,1.8643972068024257,0.024291140358625563,99.97570885964137
10079,0.3287760731742729,1.6604281000494698,0.01839035957992547,99.98160964042007
10080,0.3396165414270459,1.6988149374848593,0.01567536322755729,99.98432463677244
10082,0.3444834289507373,1.7233259521476796,0.018965435493812525,99.98103456450619
10083,0.5329464592066594,2.099748981209198,0.05668849671057539,99.94331150328942
10084,0.5223987351302515,2.082637844833912,0.07077247402499623,99.92922752597501
10085,0.5342404875777712,2.1261847801765534,0.05784342771687759,99.94215657228312
10086,0.31039149347510875,1.593865730416938,0.015466408893185114,99.98453359110681
10087,0.32267231580035133,1.6447501869519405,0.019728127612802616,99.98027187238719
10089,0.30552849834031565,1.5830901082609978,0.016076714297873145,99.98392328570212
